"Country","Year","Medical doctors (per 10 000 population)","Medical doctors (number)","Generalist medical practitioners (number)","Specialist medical practitioners (number)","Medical doctors not further defined (number)"
"Afghanistan"," 2016","2.840","9842","","","9842"
"Afghanistan"," 2015","2.907","9808","","","9808"
"Afghanistan"," 2014","3.039","9954","","","9954"
"Afghanistan"," 2013","2.894","9184","","","9184"
"Afghanistan"," 2012","2.450","7521","","","7521"
"Afghanistan"," 2011","2.553","7584","","","7584"
"Afghanistan"," 2010","2.396","6901","","","6901"
"Afghanistan"," 2009","2.156","6037","","","6037"
"Afghanistan"," 2008","1.771","4834","","","4834"
"Afghanistan"," 2007","1.774","4723","","","4723"
"Afghanistan"," 2006","1.630","4220","","","4220"
"Afghanistan"," 2001","1.957","4104","","","4104"
"Albania"," 2016","11.998","3511","","","3511"
"Albania"," 2013","12.706","3709","","","3709"
"Albania"," 2012","12.658","3696","","","3696"
"Albania"," 2011","12.225","3578","","","3578"
"Albania"," 2010","12.379","3640","","","3640"
"Algeria"," 2016","18.300","74309","","","74309"
"Algeria"," 2007","11.912","40857","","","40857"
"Algeria"," 2005","10.199","33952","","","33952"
"Algeria"," 2002","11.054","35368","","","35368"
"Andorra"," 2015","33.333","260","","","260"
"Andorra"," 2003","33.333","244","","","244"
"Angola"," 2017","2.149","6400","","","6400"
"Angola"," 2009","1.311","2956","","","2956"
"Angola"," 2004","0.618","1165","","","1165"
"Angola"," 1997","0.584","881","","","881"
"Antigua and Barbuda"," 2017","27.647","282","","","282"
"Antigua and Barbuda"," 2007","15.755","144","","","144"
"Antigua and Barbuda"," 1999","1.467","12","","","12"
"Argentina"," 2017","39.600","175313","","","175313"
"Argentina"," 2013","39.066","166187","","","166187"
"Argentina"," 2004","31.662","122623","","","122623"
"Argentina"," 2001","32.311","121076","","","121076"
"Argentina"," 1998","30.021","108800","","","108800"
"Argentina"," 1992","26.385","88800","","","88800"
"Armenia"," 2014","28.990","8425","","","8425"
"Armenia"," 2013","29.072","8412","","","8412"
"Armenia"," 2012","28.991","8355","","","8355"
"Armenia"," 2011","28.686","8249","","","8249"
"Armenia"," 2010","28.419","8177","","","8177"
"Australia"," 2016","35.874","86550","","","86550"
"Australia"," 2015","35.213","83804","","","83804"
"Australia"," 2014","34.620","81269","","","81269"
"Australia"," 2013","33.882","78439","","","78439"
"Australia"," 2012","32.976","75258","","","75258"
"Australia"," 2011","32.963","74100","","","74100"
"Australia"," 2010","33.481","74061","","","74061"
"Australia"," 2009","28.888","62800","","","62800"
"Australia"," 2006","26.765","55065","","","55065"
"Australia"," 2001","24.846","47875","","","47875"
"Australia"," 1996","25.199","46043","","","46043"
"Austria"," 2016","51.441","44816","","","44816"
"Austria"," 2015","50.701","44002","","","44002"
"Austria"," 2014","49.954","43126","","","43126"
"Austria"," 2013","49.316","42302","","","42302"
"Austria"," 2012","48.450","41268","","","41268"
"Austria"," 2011","48.031","40634","","","40634"
"Austria"," 2010","47.688","40105","","","40105"
"Azerbaijan"," 2014","34.466","32756","","","32756"
"Azerbaijan"," 2013","34.558","32434","","","32434"
"Azerbaijan"," 2012","34.901","32335","","","32335"
"Azerbaijan"," 2011","34.375","31441","","","31441"
"Azerbaijan"," 2010","36.629","33085","","","33085"
"Bahamas"," 2017","19.373","766","","","766"
"Bahamas"," 2011","22.640","830","","","830"
"Bahamas"," 2008","27.158","947","","","947"
"Bahamas"," 1998","10.755","312","","","312"
"Bahrain"," 2015","9.257","1270","","","1270"
"Bahrain"," 2014","9.570","1279","","","1279"
"Bahrain"," 2013","9.533","1254","","","1254"
"Bahrain"," 2012","9.568","1244","","","1244"
"Bahrain"," 2011","9.450","1208","","","1208"
"Bahrain"," 2010","9.493","1178","","","1178"
"Bahrain"," 2009","9.696","1149","","","1149"
"Bahrain"," 2008","9.896","1103","","","1103"
"Bahrain"," 2007","10.155","1052","","","1052"
"Bahrain"," 2006","10.142","972","","","972"
"Bahrain"," 2005","10.436","928","","","928"
"Bahrain"," 2004","9.677","803","","","803"
"Bahrain"," 2003","10.479","816","","","816"
"Bahrain"," 2002","10.774","792","","","792"
"Bahrain"," 2001","10.636","742","","","742"
"Bahrain"," 2000","10.202","678","","","678"
"Bangladesh"," 2017","5.268","86754","","","86754"
"Bangladesh"," 2016","4.822","78572","","","78572"
"Bangladesh"," 2015","4.709","75915","","","75915"
"Bangladesh"," 2014","4.737","75514","","","75514"
"Bangladesh"," 2013","4.089","64434","","","64434"
"Bangladesh"," 2012","3.879","60413","","","60413"
"Bangladesh"," 2011","3.724","57313","","","57313"
"Bangladesh"," 2010","3.526","53643","","","53643"
"Bangladesh"," 2009","3.438","51721","","","51721"
"Bangladesh"," 2008","3.317","49357","","","49357"
"Bangladesh"," 2007","3.193","46978","","","46978"
"Bangladesh"," 2006","3.070","44632","","","44632"
"Bangladesh"," 2005","2.990","42881","","","42881"
"Bangladesh"," 2004","2.723","38485","","","38485"
"Bangladesh"," 2003","2.631","36576","","","36576"
"Bangladesh"," 2001","2.423","32498","","","32498"
"Barbados"," 2017","24.886","711","","","711"
"Barbados"," 2005","17.847","489","","","489"
"Barbados"," 2001","15.515","420","","","420"
"Barbados"," 2000","13.529","365","","","365"
"Barbados"," 1995","13.509","358","","","358"
"Belarus"," 2014","40.772","38671","","","38671"
"Belarus"," 2013","39.331","37281","","","37281"
"Belarus"," 2012","38.809","36759","","","36759"
"Belarus"," 2011","37.953","35936","","","35936"
"Belarus"," 2010","35.179","33325","","","33325"
"Belgium"," 2016","33.234","37748","","","37748"
"Belgium"," 2015","30.138","34020","","","34020"
"Belgium"," 2014","29.729","33353","","","33353"
"Belgium"," 2013","29.592","32999","","","32999"
"Belgium"," 2012","29.397","32583","","","32583"
"Belgium"," 2011","29.222","32182","","","32182"
"Belgium"," 2010","29.085","31815","","","31815"
"Belgium"," 2006","20.957","22256","","","22256"
"Belgium"," 2005","20.479","21599","","","21599"
"Belize"," 2017","11.262","422","","","422"
"Belize"," 2012","11.494","387","","","387"
"Belize"," 2009","7.678","241","","","241"
"Belize"," 2000","10.150","251","","","251"
"Benin"," 2016","1.572","1709","","","1709"
"Benin"," 2013","1.506","1507","","","1507"
"Benin"," 2012","1.646","1601","","","1601"
"Benin"," 2008","0.623","542","","","542"
"Benin"," 2004","0.401","311","","","311"
"Bhutan"," 2017","3.715","300","233","67",""
"Bhutan"," 2016","3.748","299","","","299"
"Bhutan"," 2015","3.188","251","","","251"
"Bhutan"," 2014","3.142","244","","","244"
"Bhutan"," 2013","2.654","203","","","203"
"Bhutan"," 2012","2.576","194","","","194"
"Bhutan"," 2008","2.439","171","","","171"
"Bhutan"," 2007","2.096","144","","","144"
"Bhutan"," 2004","1.843","118","","","118"
"Bolivia (Plurinational State of)"," 2016","16.111","17542","","","17542"
"Bolivia (Plurinational State of)"," 2011","4.734","4771","","","4771"
"Bolivia (Plurinational State of)"," 2010","4.442","4406","","","4406"
"Bolivia (Plurinational State of)"," 2007","3.358","3170","","","3170"
"Bolivia (Plurinational State of)"," 2001","12.157","10329","","","10329"
"Bosnia and Herzegovina"," 2013","20.003","7211","","","7211"
"Bosnia and Herzegovina"," 2012","19.259","7026","","","7026"
"Bosnia and Herzegovina"," 2011","18.653","6881","","","6881"
"Bosnia and Herzegovina"," 2010","17.907","6665","","","6665"
"Botswana"," 2016","3.688","830","","","830"
"Botswana"," 2012","3.920","819","","","819"
"Botswana"," 2011","3.993","819","","","819"
"Botswana"," 2010","4.065","819","","","819"
"Botswana"," 2009","3.500","693","","","693"
"Botswana"," 2008","3.679","716","","","716"
"Botswana"," 2007","3.704","709","","","709"
"Botswana"," 2006","3.137","591","","","591"
"Botswana"," 2005","2.511","466","","","466"
"Botswana"," 2004","3.909","715","","","715"
"Botswana"," 2003","2.915","526","","","526"
"Botswana"," 2002","3.011","536","","","536"
"Botswana"," 2001","2.906","510","","","510"
"Botswana"," 2000","2.887","499","","","499"
"Botswana"," 1999","2.983","507","","","507"
"Botswana"," 1998","2.540","424","","","424"
"Brazil"," 2018","21.499","453351","","","453351"
"Brazil"," 2017","21.502","450009","153832","296177",""
"Brazil"," 2013","18.693","378354","","","378354"
"Brazil"," 2011","18.382","365231","","","365231"
"Brazil"," 2010","18.039","355006","","","355006"
"Brazil"," 2009","18.077","352318","","","352318"
"Brazil"," 2008","17.714","341849","","","341849"
"Brazil"," 2007","17.225","329041","","","329041"
"Brazil"," 2006","16.931","320013","","","320013"
"Brazil"," 2005","16.592","310138","","","310138"
"Brazil"," 2004","15.807","292014","","","292014"
"Brazil"," 2003","14.696","268169","","","268169"
"Brazil"," 2002","14.133","254604","","","254604"
"Brazil"," 2001","13.852","246219","","","246219"
"Brazil"," 2000","11.304","198153","","","198153"
"Brazil"," 1999","13.699","236668","","","236668"
"Brazil"," 1998","12.730","216632","","","216632"
"Brazil"," 1997","12.885","215875","","","215875"
"Brazil"," 1996","12.532","206675","","","206675"
"Brazil"," 1995","12.229","198479","","","198479"
"Brazil"," 1994","11.932","190554","","","190554"
"Brazil"," 1993","11.651","183068","","","183068"
"Brazil"," 1992","11.377","175848","","","175848"
"Brazil"," 1990","10.839","161880","","","161880"
"Brunei Darussalam"," 2015","17.701","739","","","739"
"Brunei Darussalam"," 2014","15.035","619","262","357",""
"Brunei Darussalam"," 2013","16.170","656","","","656"
"Brunei Darussalam"," 2012","14.911","596","","","596"
"Brunei Darussalam"," 2011","15.431","608","","","608"
"Brunei Darussalam"," 2010","14.484","563","","","563"
"Brunei Darussalam"," 2009","11.595","445","","","445"
"Brunei Darussalam"," 2008","14.869","564","","","564"
"Brunei Darussalam"," 2007","10.483","393","","","393"
"Brunei Darussalam"," 2006","10.775","399","","","399"
"Brunei Darussalam"," 2005","10.679","390","","","390"
"Brunei Darussalam"," 2004","12.879","463","","","463"
"Brunei Darussalam"," 2002","11.531","400","","","400"
"Brunei Darussalam"," 2000","10.084","336","","","336"
"Bulgaria"," 2014","39.879","28801","","","28801"
"Bulgaria"," 2013","39.761","28891","","","28891"
"Bulgaria"," 2012","39.121","28599","","","28599"
"Bulgaria"," 2011","38.585","28384","","","28384"
"Bulgaria"," 2010","37.764","27963","","","27963"
"Burkina Faso"," 2016","0.600","1119","","","1119"
"Burkina Faso"," 2012","0.475","787","","","787"
"Burkina Faso"," 2011","0.386","620","","","620"
"Burkina Faso"," 2010","0.457","713","","","713"
"Burkina Faso"," 2009","0.446","676","","","676"
"Burkina Faso"," 2008","0.322","473","","","473"
"Burkina Faso"," 2004","0.543","708","","","708"
"Burundi"," 2016","0.500","526","","","526"
"Burundi"," 2010","0.477","418","343","75",""
"Burundi"," 2004","0.278","200","","","200"
"Cabo Verde"," 2015","7.694","410","","","410"
"Cabo Verde"," 2013","5.922","308","","","308"
"Cabo Verde"," 2012","5.058","260","","","260"
"Cabo Verde"," 2011","5.747","292","","","292"
"Cabo Verde"," 2010","5.812","292","","","292"
"Cabo Verde"," 2009","5.050","251","","","251"
"Cambodia"," 2014","1.682","2568","","376","2192"
"Cambodia"," 2013","4.759","7149","","","7149"
"Cambodia"," 2012","1.651","2440","","","2440"
"Cambodia"," 2011","2.264","3291","","","3291"
"Cambodia"," 2010","2.302","3294","","","3294"
"Cambodia"," 2009","2.378","3351","","","3351"
"Cambodia"," 2008","2.444","3393","","","3393"
"Cambodia"," 2000","1.684","2047","","","2047"
"Cambodia"," 1998","1.475","1711","","","1711"
"Cambodia"," 1996","1.136","1247","","","1247"
"Cameroon"," 2011","0.898","1842","1420","422",""
"Cameroon"," 2010","0.857","1712","","","1712"
"Cameroon"," 2009","0.693","1346","","","1346"
"Cameroon"," 2007","0.717","1319","","","1319"
"Cameroon"," 2005","0.602","1049","","","1049"
"Cameroon"," 2004","1.842","3124","","","3124"
"Canada"," 2017","26.102","95596","","","95596"
"Canada"," 2016","25.668","93150","","","93150"
"Canada"," 2015","25.388","91268","","","91268"
"Canada"," 2014","24.961","88873","","","88873"
"Canada"," 2013","24.509","86406","","","86406"
"Canada"," 2012","23.962","83629","","","83629"
"Canada"," 2010","20.384","69648","","","69648"
"Canada"," 2008","19.590","65440","","","65440"
"Canada"," 2006","19.086","62307","","","62307"
"Canada"," 2004","18.971","60612","","","60612"
"Canada"," 2002","18.969","59412","","","59412"
"Canada"," 2001","18.871","58546","","","58546"
"Canada"," 1998","18.611","56163","","","56163"
"Central African Republic"," 2015","0.629","286","","38","248"
"Central African Republic"," 2009","0.465","205","","","205"
"Central African Republic"," 2008","0.398","173","","","173"
"Central African Republic"," 2004","0.816","331","","","331"
"Chad"," 2016","0.475","686","","",""
"Chad"," 2013","0.436","573","","","573"
"Chad"," 2012","0.416","528","","","528"
"Chad"," 2006","0.353","368","","","368"
"Chad"," 2004","0.355","345","","","345"
"Chad"," 2000","0.282","235","","","235"
"Chad"," 1999","0.288","232","","","232"
"Chad"," 1998","0.201","156","","","156"
"Chad"," 1997","0.260","195","","","195"
"Chile"," 2016","10.800","19342","","","19342"
"Chile"," 2009","10.328","17382","","","17382"
"Chile"," 2008","10.418","17358","","","17358"
"Chile"," 2007","10.389","17134","","","17134"
"Chile"," 2006","10.427","17016","","","17016"
"Chile"," 2005","9.825","15865","","","15865"
"Chile"," 2004","9.867","15762","","","15762"
"Chile"," 2003","9.496","15003","","","15003"
"Chile"," 2002","8.956","13992","","","13992"
"Chile"," 1992","9.985","13650","","","13650"
"China"," 2015","17.855","2508408","","","2508408"
"China"," 2014","16.989","2374917","","","2374917"
"China"," 2013","16.438","2285794","","","2285794"
"China"," 2012","15.467","2138836","","","2138836"
"China"," 2011","14.733","2025873","","","2025873"
"China"," 2010","14.627","2000000","","","2000000"
"China"," 2009","14.015","1905436","","","1905436"
"China"," 2002","11.208","1463573","","","1463573"
"China"," 2000","12.426","1603266","","","1603266"
"China"," 1999","12.177","1561584","","","1561584"
"China"," 1998","11.881","1513975","","","1513975"
"China"," 1997","11.892","1505342","","","1505342"
"China"," 1996","11.740","1475232","","","1475232"
"China"," 1995","11.672","1454926","","","1454926"
"China"," 1990","11.056","1302997","","","1302997"
"China"," 1985","","724238","","","724238"
"China"," 1980","","709473","","","709473"
"China"," 1978","","609608","","","609608"
"Colombia"," 2017","20.835","102230","","","102230"
"Colombia"," 2016","20.036","97483","","","97483"
"Colombia"," 2015","19.379","93460","","","93460"
"Colombia"," 2014","18.214","87050","","","87050"
"Colombia"," 2013","18.064","85522","","","85522"
"Colombia"," 2012","17.400","81573","","","81573"
"Colombia"," 2011","16.694","77473","","","77473"
"Colombia"," 2010","15.676","71980","","","71980"
"Colombia"," 2009","15.438","70115","","","70115"
"Colombia"," 2008","15.206","68278","","","68278"
"Colombia"," 2007","14.974","66447","","","66447"
"Colombia"," 2006","14.742","64624","","","64624"
"Colombia"," 2005","14.510","62807","","","62807"
"Colombia"," 2002","14.135","58761","","","58761"
"Colombia"," 1999","13.003","51776","","","51776"
"Colombia"," 1998","12.677","49737","","","49737"
"Colombia"," 1997","12.330","47651","","","47651"
"Colombia"," 1996","11.992","45627","","","45627"
"Colombia"," 1994","11.403","41991","","","41991"
"Colombia"," 1993","11.119","40245","","","40245"
"Colombia"," 1992","10.704","38062","","","38062"
"Colombia"," 1991","10.260","35826","","","35826"
"Colombia"," 1990","9.799","33582","","","33582"
"Colombia"," 1989","","31646","","","31646"
"Colombia"," 1988","","29492","","","29492"
"Colombia"," 1987","","27688","","","27688"
"Colombia"," 1986","","25641","","","25641"
"Colombia"," 1985","","23481","","","23481"
"Colombia"," 1984","","21709","","","21709"
"Comoros"," 2012","1.699","123","","","123"
"Comoros"," 2009","1.901","128","80","48",""
"Comoros"," 2005","1.897","116","","","116"
"Comoros"," 2004","1.926","115","","","115"
"Congo"," 2011","1.159","523","","200","323"
"Congo"," 2007","1.008","401","","","401"
"Congo"," 2006","2.035","782","","","782"
"Congo"," 2004","2.097","756","","","756"
"Congo"," 1998","7.069","2155","","","2155"
"Cook Islands"," 2014","14.205","25","","","25"
"Cook Islands"," 2009","12.698","24","","","24"
"Cook Islands"," 2004","10.256","20","","","20"
"Cook Islands"," 2001","7.650","14","","","14"
"Costa Rica"," 2013","11.497","5411","","","5411"
"Costa Rica"," 2000","13.257","5204","","","5204"
"Côte d'Ivoire"," 2014","2.326","5240","","5240",""
"Côte d'Ivoire"," 2011","1.541","3220","","","3220"
"Côte d'Ivoire"," 2008","1.408","2746","","","2746"
"Côte d'Ivoire"," 2005","0.926","1698","","","1698"
"Côte d'Ivoire"," 2004","1.156","2081","","","2081"
"Croatia"," 2016","29.962","12624","","","12624"
"Croatia"," 2014","31.244","13302","","","13302"
"Croatia"," 2013","30.170","12906","","","12906"
"Croatia"," 2012","29.727","12772","","","12772"
"Croatia"," 2011","28.956","12490","","","12490"
"Croatia"," 2010","28.428","12304","","","12304"
"Croatia"," 1999","18.055","8046","","","8046"
"Croatia"," 1998","19.146","8600","","","8600"
"Croatia"," 1997","20.552","9315","","","9315"
"Croatia"," 1996","20.597","9423","","","9423"
"Croatia"," 1995","19.689","9090","","","9090"
"Croatia"," 1994","19.619","9138","","","9138"
"Croatia"," 1993","19.755","9280","","","9280"
"Croatia"," 1992","19.958","9446","","","9446"
"Croatia"," 1991","19.544","9303","","","9303"
"Croatia"," 1990","21.255","10152","","","10152"
"Croatia"," 1989","","10173","","","10173"
"Croatia"," 1988","","9955","","","9955"
"Croatia"," 1987","","9792","","","9792"
"Croatia"," 1986","","9522","","","9522"
"Cuba"," 2017","81.900","94059","","","94059"
"Cuba"," 2014","74.794","85563","","","85563"
"Cuba"," 2013","73.341","83698","","","83698"
"Cuba"," 2012","72.099","82065","","","82065"
"Cuba"," 2011","69.242","78622","","","78622"
"Cuba"," 2010","67.507","76506","","","76506"
"Cuba"," 2009","66.157","74880","","","74880"
"Cuba"," 2008","65.918","74552","","","74552"
"Cuba"," 2007","64.064","72416","","","72416"
"Cuba"," 2006","63.286","71489","","","71489"
"Cuba"," 2005","62.559","70594","","","70594"
"Cuba"," 2004","61.874","69713","","","69713"
"Cuba"," 2003","60.487","68017","","","68017"
"Cuba"," 2002","59.796","67079","","","67079"
"Cuba"," 2001","59.290","66325","","","66325"
"Cuba"," 2000","59.186","65997","","","65997"
"Cuba"," 1999","58.383","64863","","","64863"
"Cuba"," 1998","57.377","63483","","","63483"
